participante,id_participante,jogo,fase,data,selecao_1,palpite_1,palpite_2,selecao_2,status
Arthur,arthur,79,16 avos,2026-06-30,Mexico,2,1,Equador,OK
Arthur,arthur,80,16 avos,2026-07-01,England,3,0,RD Congo,OK
Arthur,arthur,81,16 avos,2026-07-01,Belgium,2,2,Senegal,OK
Arthur,arthur,82,16 avos,2026-07-01,USA,2,1,Bósnia,OK
Arthur,arthur,83,16 avos,2026-07-02,Spain,2,1,Áustria,OK
Arthur,arthur,84,16 avos,2026-07-02,Portugal,1,1,Croácia,OK
Arthur,arthur,85,16 avos,2026-07-03,Switzerland,2,1,Argélia,OK
Arthur,arthur,86,16 avos,2026-07-03,Australia,1,2,Egito,OK
Arthur,arthur,87,16 avos,2026-07-03,Argentina,3,0,Cape Verde,OK
Arthur,arthur,88,16 avos,2026-07-03,Colombia,2,1,Ghana,OK
Arthur,arthur,89,Oitavas,2026-07-04,Canada,0,2,Morocco,OK
Arthur,arthur,90,Oitavas,2026-07-04,Paraguay,0,4,França,OK
Arthur,arthur,91,Oitavas,2026-07-05,Brasil,2,1,Norway,OK
Arthur,arthur,92,Oitavas,2026-07-05,Mexico,1,1,England,OK
Arthur,arthur,93,Oitavas,2026-07-06,Portugal,2,1,Spain,OK
Arthur,arthur,94,Oitavas,2026-07-06,USA,1,1,Belgium,OK
Arthur,arthur,95,Oitavas,2026-07-07,Argentina,2,1,Egito,OK
Arthur,arthur,96,Oitavas,2026-07-07,Switzerland,0,2,Colombia,OK
Arthur,arthur,97,Quartas,2026-07-09,França,2,1,Morocco,OK
Arthur,arthur,98,Quartas,2026-07-10,Spain,1,2,Belgium,OK
Arthur,arthur,99,Quartas,2026-07-11,Norway,1,3,England,OK
Arthur,arthur,100,Quartas,2026-07-11,Argentina,2,0,Switzerland,OK
Arthur,arthur,101,Semifinal,2026-07-14,França,2,3,Spain,OK
Arthur,arthur,102,Semifinal,2026-07-15,England,3,1,Argentina,OK
Arthur,arthur,103,3º lugar,2026-07-18,França,2,0,England,OK
Arthur,arthur,104,Final,2026-07-19,Spain,2,1,Argentina,OK
Carrion,carrion,1,Fase de Grupos,2026-06-11,México,2,0,África do Sul,OK
Carrion,carrion,2,Fase de Grupos,2026-06-11,Coreia do Sul,1,1,Rep. Tcheca,OK
Carrion,carrion,3,Fase de Grupos,2026-06-18,Rep. Tcheca,2,1,África do Sul,OK
Carrion,carrion,4,Fase de Grupos,2026-06-18,México,2,2,Coreia do Sul,OK
Carrion,carrion,5,Fase de Grupos,2026-06-24,Rep. Tcheca,0,3,México,OK
Carrion,carrion,6,Fase de Grupos,2026-06-24,África do Sul,0,1,Coreia do Sul,OK
Carrion,carrion,7,Fase de Grupos,2026-06-12,Canadá,1,0,Bósnia,OK
Carrion,carrion,8,Fase de Grupos,2026-06-13,Catar,0,4,Suíça,OK
